order_id,customer_id,order_date,market,category,channel,customer_segment,qty,unit_price_local,fx_to_cny,cogs_cny,sell_price_cny,warehouse_type,warehouse_fee_cny,shipping_mode,shipping_cost_cny,weight_kg,expected_days,delay_days,actual_days,coupon_given,coupon_value_cny,gift_given,gift_cost_cny,sentiment_score,complaint_flag,refund_flag,refund_amount_cny,profit_cny,margin_pct
12,10238,2024-12-23,US,Sneakers,Instagram,HighIncome,2,200.25,7.1016,2844.19,3478.1,Forwarder_Aggregator,16.9,Economy,124.42,2.05,18,0,18,0,0,0,0,4.0,0,0,0.0,492.59,0.1416
13,10502,2024-09-26,US,Streetwear,Xiaohongshu,YoungProfessional,1,75.37,7.0883,534.25,671.95,Forwarder_Aggregator,5.27,Standard,83.84,0.55,13,15,28,1,10,0,0,3.9,0,0,0.0,38.59,0.0574
14,10248,2024-10-05,US,Basics,TikTok,YoungProfessional,2,63.93,7.0893,906.44,1064.22,3PL_Standard,9.96,Economy,76.85,0.84,17,0,17,0,0,0,0,4.5,0,0,0.0,70.97,0.0667
15,10458,2024-09-19,US,Outerwear,Xiaohongshu,Collector,1,121.89,7.0885,864.02,1056.95,Forwarder_Aggregator,9.47,Standard,120.42,1.06,15,0,15,0,0,0,0,4.7,0,0,0.0,63.04,0.0596
16,10057,2024-10-14,US,Streetwear,WeChat,Student,1,59.14,7.0921,419.43,502.74,3PL_Budget,7.3,Standard,80.63,0.63,15,0,15,1,15,0,0,4.2,0,0,0.0,-19.62,-0.039
17,10242,2024-07-06,TH,Outerwear,Referral,HighIncome,1,2441.23,0.2001,488.49,614.93,3PL_Budget,9.97,Standard,92.74,1.24,13,0,13,0,0,0,0,4.6,0,0,0.0,23.73,0.0386
18,10636,2024-02-16,US,Basics,Referral,Student,3,41.51,7.1048,884.76,1046.28,3PL_Budget,10.18,Standard,160.43,1.41,13,0,13,0,0,1,8,4.8,0,0,0.0,-17.09,-0.0163
19,10700,2024-11-03,US,Basics,WeChat,Student,3,47.73,7.0946,1015.88,1214.36,Forwarder_Aggregator,11.37,Standard,139.69,1.37,12,0,12,0,0,0,0,4.0,0,0,0.0,47.42,0.039
20,10244,2024-06-13,KR,Sneakers,Instagram,Student,1,174460.55,0.0053,924.64,1047.61,3PL_Standard,12.78,Economy,65.41,1.21,17,0,17,1,15,0,0,4.2,0,0,0.0,29.78,0.0284
21,10232,2024-07-02,AU,Basics,Instagram,ValueSeeker,3,59.27,4.6885,833.66,975.44,BrandWarehouse,18.25,Standard,161.7,1.43,15,0,15,0,0,0,0,3.9,0,0,0.0,-38.17,-0.0391
22,10268,2024-05-15,KR,Basics,Referral,Student,3,62786.58,0.0053,998.31,1155.49,3PL_Budget,10.23,Standard,107.21,1.38,11,0,11,0,0,0,0,4.2,0,0,0.0,39.74,0.0344
23,10251,2024-03-07,KR,Basics,TikTok,YoungProfessional,2,64479.73,0.0053,683.49,805.89,3PL_Standard,9.78,Standard,81.99,0.88,11,0,11,0,0,0,0,4.4,0,0,0.0,30.63,0.038
24,10894,2024-12-05,TH,Basics,TikTok,Student,1,1336.82,0.1998,267.1,304.45,3PL_Budget,3.8,Economy,47.46,0.47,16,9,25,0,0,1,18,3.4,0,0,0.0,-31.91,-0.1048
25,10585,2024-10-13,KR,Outerwear,TikTok,Collector,2,126448.07,0.0053,1340.35,1645.13,Forwarder_Aggregator,14.74,Express,135.15,1.4,7,0,7,0,0,0,0,4.8,0,0,0.0,154.89,0.0942
26,10347,2024-08-23,AU,Accessories,Instagram,YoungProfessional,2,45.07,4.6877,422.55,495.51,3PL_Standard,6.84,Standard,87.19,0.56,15,0,15,0,0,0,0,4.8,0,0,0.0,-21.07,-0.0425
27,10415,2024-05-27,KR,Sneakers,WeChat,ValueSeeker,2,171136.56,0.0053,1814.05,2148.03,3PL_Standard,15.12,Standard,107.0,1.61,12,0,12,0,0,0,0,4.4,0,0,0.0,211.86,0.0986
28,10459,2024-10-28,CA,Accessories,Referral,Collector,2,49.79,5.2867,526.45,607.58,3PL_Standard,5.06,Economy,59.57,0.46,19,8,27,0,0,0,0,3.7,0,0,0.0,16.5,0.0272
29,10497,2024-07-18,CA,Streetwear,Referral,HighIncome,1,81.19,5.2864,429.2,532.89,3PL_Budget,4.42,Standard,74.27,0.46,14,0,14,1,10,0,0,4.5,0,0,0.0,15.0,0.0281
30,10347,2024-06-11,CA,Accessories,Xiaohongshu,Collector,2,28.33,5.2836,299.37,374.03,Forwarder_Aggregator,7.39,Economy,56.92,0.46,17,0,17,0,0,0,0,4.9,0,0,0.0,10.35,0.0277
31,10876,2024-06-13,US,Basics,WeChat,Student,3,42.09,7.1184,898.84,1050.81,Forwarder_Aggregator,11.5,Standard,144.5,1.29,13,0,13,1,30,0,0,4.7,0,0,0.0,-34.03,-0.0324
32,10261,2024-03-24,KR,Outerwear,Instagram,ValueSeeker,1,140356.92,0.0053,743.89,883.53,3PL_Standard,12.61,Standard,88.24,1.22,10,0,10,0,0,0,0,3.8,0,0,0.0,38.79,0.0439
33,10384,2024-02-03,US,Basics,Referral,ValueSeeker,2,60.16,7.1013,854.43,1003.09,3PL_Budget,9.08,Economy,94.69,1.04,20,0,20,0,0,0,0,3.6,0,0,0.0,44.89,0.0448
34,10005,2024-07-21,US,Outerwear,Xiaohongshu,YoungProfessional,2,143.03,7.1085,2033.46,2454.55,Forwarder_Aggregator,23.24,Economy,198.7,2.71,17,0,17,0,0,0,0,4.0,0,0,0.0,199.15,0.0811
35,10442,2024-11-20,US,Streetwear,TikTok,HighIncome,2,46.16,7.0952,655.03,842.08,Forwarder_Aggregator,10.98,Standard,115.19,1.11,15,0,15,0,0,0,0,4.4,0,0,0.0,60.88,0.0723
36,10769,2024-01-24,TH,Streetwear,Xiaohongshu,YoungProfessional,1,2725.88,0.2002,545.72,649.46,BrandWarehouse,8.14,Economy,39.7,0.54,17,0,17,0,0,0,0,3.8,0,0,0.0,55.9,0.0861
37,10897,2024-11-10,CA,Accessories,WeChat,HighIncome,1,43.03,5.2873,227.51,281.94,3PL_Budget,2.52,Standard,50.01,0.27,12,0,12,0,0,0,0,4.4,0,0,0.0,1.9,0.0067
38,10425,2024-10-29,KR,Sneakers,TikTok,ValueSeeker,2,147011.33,0.0053,1558.32,1797.0,BrandWarehouse,20.06,Economy,101.25,1.71,16,0,16,0,0,0,0,3.8,0,0,0.0,117.37,0.0653
39,10125,2024-04-11,TH,Outerwear,Xiaohongshu,ValueSeeker,3,2274.48,0.2003,1366.74,1593.6,BrandWarehouse,32.53,Economy,164.03,2.92,15,8,23,1,25,0,0,3.9,0,0,0.0,5.3,0.0033
40,10647,2024-08-19,US,Sneakers,Referral,YoungProfessional,3,128.21,7.1021,2731.68,3396.18,3PL_Budget,18.1,Standard,220.67,2.72,12,0,12,0,0,0,0,4.5,0,0,0.0,425.73,0.1254
41,10576,2024-03-01,KR,Outerwear,Referral,Collector,3,121283.97,0.0053,1928.42,2381.62,Forwarder_Aggregator,26.25,Express,288.41,3.29,8,0,8,1,15,0,0,5.0,0,0,0.0,123.54,0.0519
42,10862,2024-10-04,US,Sneakers,Referral,Collector,2,148.46,7.091,2105.46,2596.43,3PL_Budget,10.05,Standard,109.3,1.43,12,0,12,0,0,0,0,4.4,0,0,0.0,371.62,0.1431
43,10454,2024-09-13,US,Basics,Xiaohongshu,YoungProfessional,1,52.65,7.095,373.55,442.77,3PL_Budget,5.34,Economy,66.06,0.51,19,0,19,0,0,0,0,4.2,1,0,0.0,-2.18,-0.0049
44,10002,2024-05-09,KR,Accessories,TikTok,HighIncome,2,70215.31,0.0053,744.28,901.53,Forwarder_Aggregator,5.17,Express,71.17,0.51,9,0,9,0,0,0,0,4.9,0,0,0.0,80.91,0.0897
45,10810,2024-01-25,TH,Accessories,WeChat,Collector,3,1361.76,0.2002,817.87,975.04,3PL_Budget,6.58,Express,90.53,0.82,6,0,6,1,20,1,15,4.8,0,0,0.0,25.06,0.0257
46,10607,2024-12-21,US,Sneakers,WeChat,ValueSeeker,2,158.22,7.0987,2246.31,2624.82,3PL_Budget,10.75,Standard,153.23,1.54,12,10,22,0,0,1,18,3.9,0,0,0.0,196.53,0.0749
47,10720,2024-06-12,AU,Basics,WeChat,ValueSeeker,2,37.9,4.6846,355.09,408.9,Forwarder_Aggregator,8.19,Standard,91.96,0.83,15,0,15,0,0,0,0,4.3,0,0,0.0,-46.34,-0.1133
48,10106,2024-11-22,US,Outerwear,WeChat,Student,2,101.76,7.0961,1444.2,1599.0,BrandWarehouse,24.47,Economy,194.64,2.01,18,0,18,1,25,0,0,5.0,0,0,0.0,-89.31,-0.0559
49,10411,2024-09-05,AU,Outerwear,Instagram,YoungProfessional,3,112.57,4.6861,1582.54,1901.12,3PL_Budget,19.98,Standard,274.11,3.22,14,0,14,0,0,0,0,4.2,0,0,0.0,24.49,0.0129
50,10412,2024-10-11,AU,Streetwear,WeChat,Student,3,73.8,4.6782,1035.75,1183.7,3PL_Budget,12.29,Standard,182.22,1.64,14,0,14,0,0,0,0,3.9,0,0,0.0,-46.56,-0.0393
51,10240,2024-10-05,AU,Sneakers,Instagram,Student,3,97.22,4.6771,1364.12,1612.65,3PL_Budget,21.16,Express,434.56,3.15,11,0,11,0,0,0,0,4.4,0,0,0.0,-207.19,-0.1285
52,10762,2024-03-12,AU,Accessories,Xiaohongshu,YoungProfessional,2,27.44,4.6911,257.45,293.98,3PL_Budget,5.48,Economy,70.8,0.51,19,0,19,0,0,0,0,4.2,0,0,0.0,-39.75,-0.1352
53,10169,2024-05-13,US,Accessories,Instagram,ValueSeeker,3,34.33,7.1057,731.82,833.69,BrandWarehouse,9.61,Economy,64.26,0.68,18,0,18,1,25,0,0,4.8,0,0,0.0,3.0,0.0036
54,10064,2024-06-19,KR,Outerwear,Instagram,YoungProfessional,3,135877.64,0.0053,2160.45,2708.99,3PL_Standard,39.89,Express,341.5,4.17,6,0,6,1,15,0,0,4.6,0,0,0.0,152.15,0.0562
55,10210,2024-07-01,KR,Streetwear,Referral,Collector,3,119464.06,0.0053,1899.48,2278.24,Forwarder_Aggregator,13.58,Standard,96.93,1.6,13,0,13,0,0,0,0,4.8,0,0,0.0,268.25,0.1177
56,10890,2024-01-17,KR,Accessories,WeChat,YoungProfessional,3,32381.63,0.0053,514.87,597.23,3PL_Standard,8.47,Standard,66.77,0.67,12,3,15,1,20,1,15,3.5,0,0,0.0,-27.88,-0.0467
57,10102,2024-07-19,US,Basics,Instagram,YoungProfessional,1,68.91,7.1105,489.98,570.19,BrandWarehouse,6.99,Economy,63.86,0.35,19,0,19,0,0,0,0,4.2,0,0,0.0,9.36,0.0164
58,10522,2024-02-26,CA,Outerwear,Referral,ValueSeeker,2,142.74,5.2959,1511.87,1672.07,3PL_Standard,21.48,Standard,164.78,2.22,12,0,12,1,25,0,0,5.0,0,0,0.0,-51.06,-0.0305
59,10164,2024-09-29,CA,Streetwear,Referral,Collector,1,68.37,5.2842,361.28,425.44,BrandWarehouse,8.14,Standard,75.7,0.6,12,0,12,1,25,0,0,4.1,0,0,0.0,-44.68,-0.105
60,10355,2024-09-06,US,Outerwear,Referral,YoungProfessional,2,82.33,7.0962,1168.46,1421.1,Forwarder_Aggregator,16.88,Economy,168.17,1.9,19,0,19,0,0,0,0,4.3,0,0,0.0,67.59,0.0476
61,10496,2024-12-03,US,Sneakers,Referral,ValueSeeker,3,140.1,7.0939,2981.57,3464.29,BrandWarehouse,35.11,Economy,203.52,3.06,20,0,20,0,0,0,0,4.7,0,0,0.0,244.09,0.0705
62,10017,2024-09-29,CA,Outerwear,Referral,HighIncome,3,124.97,5.2842,1981.1,2542.92,3PL_Standard,31.25,Economy,194.35,3.33,18,0,18,0,0,0,0,4.2,0,0,0.0,336.22,0.1322
63,10217,2024-05-14,KR,Outerwear,WeChat,YoungProfessional,1,165763.51,0.0053,878.55,1029.24,BrandWarehouse,11.99,Standard,82.84,0.87,10,0,10,0,0,0,0,4.7,0,0,0.0,55.86,0.0543
64,10528,2024-12-20,US,Accessories,Referral,HighIncome,3,56.33,7.0992,1199.69,1518.1,3PL_Standard,8.86,Economy,76.79,0.81,19,0,19,1,15,0,0,4.2,1,1,1263.16,-1045.4,-0.6886
65,10013,2024-05-30,KR,Outerwear,Referral,Collector,1,125517.86,0.0053,665.24,789.67,Forwarder_Aggregator,11.25,Standard,65.87,1.07,13,6,19,0,0,0,0,4.1,0,0,0.0,47.31,0.0599
66,10445,2024-04-29,AU,Outerwear,Xiaohongshu,YoungProfessional,1,96.02,4.687,450.05,537.7,3PL_Standard,10.08,Economy,82.52,0.95,19,0,19,0,0,0,0,4.6,0,0,0.0,-4.95,-0.0092
67,10543,2024-11-27,KR,Streetwear,Referral,ValueSeeker,2,82237.4,0.0053,871.72,987.33,3PL_Standard,12.25,Economy,95.47,1.23,16,0,16,0,0,0,0,4.0,0,0,0.0,7.89,0.008
68,10193,2024-05-15,CA,Basics,Referral,HighIncome,1,57.45,5.2871,303.74,372.85,3PL_Standard,6.5,Express,103.27,0.5,11,0,11,0,0,0,0,4.2,0,0,0.0,-40.66,-0.1091
69,10145,2024-01-28,AU,Outerwear,Referral,HighIncome,3,128.06,4.6997,1805.53,2184.44,3PL_Budget,19.54,Standard,302.27,2.85,13,0,13,0,0,0,0,4.8,0,0,0.0,57.1,0.0261
70,10441,2024-06-20,AU,Outerwear,Referral,ValueSeeker,1,129.51,4.6868,606.99,700.06,BrandWarehouse,14.86,Economy,96.04,1.14,19,0,19,0,0,0,0,4.1,0,0,0.0,-17.83,-0.0255
71,10646,2024-10-18,TH,Streetwear,Xiaohongshu,HighIncome,1,1499.83,0.2002,300.27,365.27,3PL_Standard,7.58,Standard,58.2,0.56,10,0,10,0,0,0,0,4.5,0,0,0.0,-0.78,-0.0021
72,10011,2024-03-10,AU,Accessories,WeChat,YoungProfessional,3,43.86,4.691,617.24,775.43,3PL_Budget,5.89,Economy,81.36,0.74,18,0,18,1,10,0,0,4.8,0,0,0.0,60.94,0.0786
73,10304,2024-06-18,AU,Basics,WeChat,Student,1,47.25,4.6861,221.42,264.82,Forwarder_Aggregator,6.29,Standard,74.81,0.42,16,0,16,0,0,0,0,4.5,0,0,0.0,-37.7,-0.1424
74,10899,2024-02-17,AU,Streetwear,TikTok,YoungProfessional,3,95.35,4.6941,1342.75,1578.51,Forwarder_Aggregator,12.49,Economy,139.08,1.62,19,0,19,1,10,0,0,4.5,0,0,0.0,74.19,0.047
75,10302,2024-09-08,KR,Streetwear,Referral,YoungProfessional,3,108230.02,0.0053,1720.86,1997.34,3PL_Budget,12.26,Express,154.32,1.84,9,0,9,0,0,0,0,5.0,0,0,0.0,109.9,0.055
76,10298,2024-06-23,US,Streetwear,Referral,YoungProfessional,1,68.82,7.1164,489.75,569.58,3PL_Standard,7.26,Economy,75.8,0.58,18,0,18,1,30,0,0,5.0,0,0,0.0,-33.23,-0.0583
77,10663,2024-04-30,AU,Sneakers,TikTok,HighIncome,2,115.88,4.6864,1086.12,1310.15,3PL_Standard,14.44,Express,218.47,1.46,11,0,11,0,0,0,0,4.5,0,0,0.0,-8.88,-0.0068
78,10432,2024-03-24,CA,Basics,Referral,Student,2,58.63,5.2918,620.52,735.56,Forwarder_Aggregator,6.72,Standard,85.71,0.67,12,0,12,0,0,0,0,4.3,0,0,0.0,22.61,0.0307
79,10352,2024-07-25,TH,Sneakers,Instagram,YoungProfessional,1,4656.64,0.2004,933.19,1107.9,3PL_Standard,7.68,Economy,54.66,0.74,17,0,17,1,15,1,18,4.8,0,0,0.0,79.37,0.0716
80,10706,2024-09-02,AU,Outerwear,Referral,HighIncome,3,138.81,4.6888,1952.56,2471.46,3PL_Budget,18.35,Express,328.77,2.76,12,0,12,0,0,0,0,4.2,1,0,0.0,171.78,0.0695
81,10027,2024-12-10,CA,Accessories,Instagram,YoungProfessional,3,31.1,5.2919,493.73,600.13,Forwarder_Aggregator,7.56,Economy,58.2,0.68,20,0,20,0,0,0,0,4.8,0,0,0.0,40.64,0.0677
82,10641,2024-06-08,TH,Accessories,WeChat,HighIncome,3,549.75,0.2004,330.51,398.22,3PL_Budget,5.72,Standard,59.41,0.71,10,15,25,1,20,0,0,3.4,0,0,0.0,-17.42,-0.0437
83,10342,2024-02-28,CA,Outerwear,Instagram,Collector,1,150.31,5.2958,796.01,951.17,BrandWarehouse,13.11,Standard,113.49,1.09,15,0,15,0,0,0,0,4.3,0,0,0.0,28.56,0.03
84,10799,2024-10-31,US,Streetwear,WeChat,YoungProfessional,1,66.4,7.0913,470.86,571.11,Forwarder_Aggregator,5.66,Economy,63.61,0.55,20,15,35,1,15,1,8,3.2,0,0,0.0,7.98,0.014
85,10652,2024-08-18,US,Outerwear,Xiaohongshu,Student,3,143.15,7.1016,3049.78,3482.64,BrandWarehouse,39.18,Economy,233.71,3.28,19,0,19,0,0,0,0,4.1,0,0,0.0,159.97,0.0459
86,10847,2024-09-13,US,Accessories,Instagram,HighIncome,1,10.0,7.095,70.95,85.84,3PL_Standard,5.62,Standard,66.99,0.28,13,0,13,0,0,0,0,4.9,0,0,0.0,-57.72,-0.6724
87,10115,2024-02-05,US,Accessories,WeChat,Student,2,37.94,7.1024,538.93,649.4,3PL_Budget,3.92,Economy,54.28,0.4,17,0,17,0,0,0,0,4.5,0,0,0.0,52.27,0.0805
88,10170,2024-04-24,CA,Accessories,TikTok,HighIncome,2,64.47,5.2875,681.77,775.1,3PL_Standard,7.19,Express,92.03,0.52,10,11,21,0,0,0,0,3.8,0,0,0.0,-5.89,-0.0076
89,10812,2024-10-08,KR,Basics,Instagram,Collector,1,70798.75,0.0053,375.23,452.67,3PL_Budget,4.8,Economy,50.22,0.47,15,0,15,0,0,0,0,5.0,0,0,0.0,22.42,0.0495
90,10351,2024-10-31,KR,Outerwear,TikTok,HighIncome,2,138234.92,0.0053,1465.29,1773.4,3PL_Budget,14.5,Economy,108.56,1.87,17,0,17,0,0,0,0,4.4,1,0,0.0,185.05,0.1043
91,10734,2024-06-08,US,Outerwear,Instagram,YoungProfessional,1,83.24,7.1145,592.21,702.24,3PL_Standard,12.72,Economy,94.55,1.17,18,0,18,0,0,1,12,4.4,0,0,0.0,-9.24,-0.0132
92,10618,2024-10-21,AU,Streetwear,Instagram,ValueSeeker,1,81.94,4.6785,383.36,428.3,3PL_Standard,6.93,Standard,80.2,0.57,13,0,13,1,10,0,0,4.1,0,0,0.0,-52.19,-0.1219
93,10449,2024-11-04,US,Basics,Instagram,Student,2,47.15,7.0961,669.16,814.53,3PL_Standard,11.7,Express,131.73,0.9,10,0,10,1,15,0,0,4.2,0,0,0.0,-13.06,-0.016
94,10040,2024-05-21,TH,Sneakers,WeChat,ValueSeeker,1,4254.97,0.2001,851.42,1008.83,3PL_Budget,5.1,Economy,53.18,0.67,16,0,16,1,15,0,0,4.1,0,0,0.0,84.13,0.0834
95,10066,2024-11-24,US,Outerwear,Referral,ValueSeeker,1,150.66,7.0966,1069.17,1185.08,3PL_Budget,9.7,Standard,152.2,1.23,14,0,14,1,20,0,0,4.3,0,0,0.0,-65.99,-0.0557
96,10645,2024-04-15,AU,Streetwear,WeChat,YoungProfessional,3,68.72,4.6887,966.62,1160.93,Forwarder_Aggregator,16.04,Economy,137.49,1.69,19,0,19,0,0,0,0,4.2,0,0,0.0,40.78,0.0351
97,10087,2024-03-28,US,Accessories,Referral,Student,2,39.58,7.1071,562.6,671.61,3PL_Standard,7.35,Economy,58.9,0.52,18,12,30,0,0,0,0,3.5,0,0,0.0,42.76,0.0637
98,10004,2024-09-06,KR,Accessories,WeChat,Student,2,24716.95,0.0053,262.0,303.31,Forwarder_Aggregator,3.49,Economy,47.93,0.3,15,0,15,0,0,0,0,4.6,0,0,0.0,-10.11,-0.0333
99,10197,2024-08-21,CA,Accessories,Referral,ValueSeeker,1,26.17,5.2845,138.3,165.8,Forwarder_Aggregator,2.91,Standard,55.39,0.23,12,0,12,1,20,0,0,4.5,0,0,0.0,-50.8,-0.3064
100,10822,2024-02-21,KR,Streetwear,Referral,YoungProfessional,1,102631.58,0.0053,543.95,613.19,Forwarder_Aggregator,4.04,Standard,53.24,0.46,12,0,12,0,0,0,0,5.0,0,0,0.0,11.96,0.0195
101,10563,2024-10-31,US,Basics,Xiaohongshu,ValueSeeker,2,44.2,7.0913,626.87,739.15,BrandWarehouse,14.92,Economy,89.69,1.04,20,0,20,1,20,0,0,4.6,0,0,0.0,-12.33,-0.0167
102,10646,2024-03-14,TH,Accessories,Instagram,HighIncome,2,1260.33,0.2001,504.38,606.43,BrandWarehouse,5.6,Express,65.61,0.43,6,0,6,0,0,0,0,4.2,0,0,0.0,30.84,0.0509
103,10586,2024-10-21,AU,Accessories,Instagram,HighIncome,2,43.49,4.6785,406.94,481.41,3PL_Budget,6.25,Economy,83.0,0.59,18,0,18,0,0,0,0,4.5,0,0,0.0,-14.78,-0.0307
104,10508,2024-01-03,KR,Accessories,WeChat,HighIncome,1,45932.05,0.0053,243.44,300.33,3PL_Standard,3.09,Standard,40.14,0.28,12,0,12,0,0,0,0,4.5,0,0,0.0,13.66,0.0455
105,10230,2024-10-18,TH,Basics,WeChat,YoungProfessional,3,1158.02,0.2002,695.51,833.27,Forwarder_Aggregator,14.98,Economy,84.42,1.39,17,0,17,1,20,0,0,4.9,0,0,0.0,18.36,0.022
106,10386,2024-10-15,TH,Basics,Instagram,YoungProfessional,2,1192.99,0.2003,477.91,583.25,Forwarder_Aggregator,8.3,Standard,81.2,1.02,11,6,17,0,0,1,18,4.4,0,0,0.0,-2.16,-0.0037
107,10490,2024-10-12,US,Sneakers,Referral,ValueSeeker,3,117.09,7.094,2491.91,3050.02,3PL_Budget,17.22,Economy,167.44,2.53,20,0,20,0,0,1,8,4.4,0,0,0.0,365.45,0.1198
108,10889,2024-08-31,US,Sneakers,Referral,YoungProfessional,2,134.59,7.0995,1911.04,2316.41,BrandWarehouse,22.24,Standard,159.83,1.73,15,0,15,0,0,0,0,5.0,0,0,0.0,223.3,0.0964
109,10809,2024-06-21,US,Outerwear,Xiaohongshu,ValueSeeker,2,135.65,7.1164,1930.68,2165.49,BrandWarehouse,28.14,Standard,209.92,2.44,14,17,31,1,40,0,0,3.7,0,0,0.0,-43.25,-0.02
110,10662,2024-09-15,US,Basics,Instagram,ValueSeeker,1,84.84,7.0898,601.5,661.65,BrandWarehouse,6.96,Standard,72.51,0.4,15,0,15,0,0,0,0,4.7,0,0,0.0,-19.32,-0.0292
111,10731,2024-04-11,AU,Accessories,Instagram,Student,3,37.03,4.6907,521.09,577.44,3PL_Budget,5.5,Economy,72.64,0.63,19,3,22,0,0,0,0,4.7,0,0,0.0,-21.79,-0.0377
112,10726,2024-10-12,TH,Streetwear,Xiaohongshu,HighIncome,1,2436.72,0.2004,488.32,589.34,3PL_Standard,7.16,Standard,56.66,0.53,10,0,10,0,0,0,0,4.7,0,0,0.0,37.2,0.0631
113,10600,2024-07-22,TH,Streetwear,Referral,Student,3,2618.29,0.2003,1573.33,1852.32,3PL_Standard,16.4,Economy,76.78,1.48,15,0,15,0,0,0,0,4.4,0,0,0.0,185.81,0.1003
114,10742,2024-06-16,AU,Basics,WeChat,HighIncome,3,49.1,4.6843,690.0,842.82,3PL_Standard,16.42,Economy,168.16,1.65,21,15,36,0,0,0,0,3.4,0,0,0.0,-31.76,-0.0377
115,10065,2024-07-04,KR,Basics,Instagram,ValueSeeker,2,80354.56,0.0053,851.76,989.92,3PL_Budget,9.38,Standard,94.26,0.98,10,0,10,1,15,0,0,3.8,0,0,0.0,19.52,0.0197
116,10019,2024-07-27,TH,Basics,WeChat,ValueSeeker,3,1664.56,0.2003,1000.23,1120.49,3PL_Budget,9.91,Express,128.99,1.26,6,16,22,1,10,0,0,2.9,0,0,0.0,-28.64,-0.0256
117,10399,2024-01-14,TH,Sneakers,Instagram,ValueSeeker,3,4688.93,0.1999,2811.95,3433.61,BrandWarehouse,31.56,Economy,118.53,2.51,17,0,17,0,0,0,0,4.3,0,0,0.0,471.57,0.1373
118,10049,2024-02-21,US,Accessories,WeChat,YoungProfessional,1,50.28,7.107,357.34,438.89,3PL_Standard,3.51,Standard,67.13,0.26,13,0,13,0,0,0,0,4.3,0,0,0.0,10.91,0.0249
119,10305,2024-03-30,AU,Basics,WeChat,HighIncome,1,51.41,4.686,240.91,282.96,3PL_Standard,5.95,Standard,88.55,0.51,13,0,13,0,0,0,0,4.5,1,0,0.0,-52.45,-0.1854
120,10178,2024-02-11,TH,Outerwear,WeChat,YoungProfessional,2,2935.52,0.2002,1175.38,1406.62,3PL_Budget,15.45,Standard,145.37,2.28,13,0,13,0,0,0,0,4.8,0,0,0.0,70.42,0.0501
121,10861,2024-06-09,US,Streetwear,WeChat,ValueSeeker,3,39.06,7.1151,833.75,984.14,BrandWarehouse,16.85,Standard,138.6,1.46,14,0,14,0,0,0,0,4.2,0,0,0.0,-5.06,-0.0051
